file_path,line_number,type,code_snippet,priority
packages\api-client\src\index.ts,99,console.warn,"console.warn('Endpoint cannot contain query string', endpoint);",REVIEW
packages\apps-engine\src\client\AppClientManager.ts,25,console.log,"console.log('Enabled apps:', this.apps);",REVIEW
packages\apps-engine\src\client\AppsEngineUIClient.ts,15,console.log,this.listener = () => console.log('init');,REVIEW
packages\apps-engine\src\server\AppManager.ts,297,console.warn,"console.warn(`Error while compiling the App ""${item.info.name} (${item.id})"":`);",KEEP
packages\apps-engine\src\server\AppManager.ts,298,console.error,console.error(e);,KEEP
packages\apps-engine\src\server\AppManager.ts,496,console.warn,"await app.call(AppMethod.ONDISABLE).catch((e) => console.warn('Error while disabling:', e));",KEEP
packages\apps-engine\src\server\AppManager.ts,522,console.warn,"await app.call(AppMethod.ONUPDATE).catch((e) => console.warn('Error while migrating:', e));",KEEP
packages\apps-engine\src\server\AppManager.ts,947,console.error,console.error(error);,KEEP
packages\apps-engine\src\server\AppManager.ts,1144,console.warn,"console.warn(`The App (${app.getID()}) disabled itself when being enabled. \nCheck the ""onEnable"" implementation for details.`);",REVIEW
packages\apps-engine\src\server\AppManager.ts,1157,console.error,console.error(e);,KEEP
packages\apps-engine\src\server\AppManager.ts,1236,console.error,console.error('AppManager should be instantiated first');,KEEP
packages\apps-engine\src\server\ProxiedApp.ts,83,console.error,"console.error('JSON-RPC error received: ', inspect(e, { depth: 10 }));",KEEP
packages\apps-engine\src\server\accessors\LivechatRead.ts,19,console.warn,console.warn(,REVIEW
packages\apps-engine\src\server\compiler\AppPackageParser.ts,35,console.warn,console.warn(,REVIEW
packages\apps-engine\src\server\logging\AppConsole.ts,97,console.log,"// console.log(`${ severity.toUpperCase() }:`, i);",REVIEW
